year,repos,sig_med,ret_med,var_med,full_fn_med,any_med,loc_med,total_repos_all_years
2015,669,0.0,0.0,0.0,0.0,0.0,5226.0,1991
2016,630,0.0,0.0,0.0,0.0,0.0,4169.5,1991
2017,157,0.0184,0.0108,0.0,0.0057,0.0,7147.0,1991
2018,66,0.29779999999999995,0.21134999999999998,0.02225,0.1651,89.0,94591.0,1991
2019,63,0.2773,0.1625,0.0215,0.1482,83.0,89002.0,1991
2020,72,0.1617,0.11180000000000001,0.007350000000000001,0.07765,43.5,94490.0,1991
2021,56,0.14825,0.09375,0.0075,0.08675,31.5,93362.5,1991
2022,77,0.2678,0.1641,0.0217,0.1156,74.0,92470.0,1991
2023,85,0.5089,0.2335,0.0697,0.1856,150.0,94189.0,1991
2024,59,0.4529,0.2523,0.0361,0.2163,157.0,79533.0,1991
2025,57,0.5068,0.2529,0.0373,0.2218,160.0,91116.0,1991
