repo,stars,created_at,loc_full,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
nvbn/thefuck,94493,2015-04-08,4967,213,4967,0.0,0.0,0.0,0.0,0
3b1b/manim,81489,2015-03-22,19213,92,19213,0.8052,0.6325,0.1077,0.5639,4
keras-team/keras,63517,2015-03-28,218429,895,218429,0.0005,0.0,0.0,0.0,0
apache/airflow,42950,2015-04-13,347223,2690,347223,0.8546,0.6904,0.2429,0.5749,2888
XX-net/XX-Net,33340,2015-01-15,98077,396,98077,0.0,0.0,0.0,0.0,0
vnpy/vnpy,33137,2015-03-02,8370,57,8370,1.0,0.9982,2.5139,0.9982,43
donnemartin/interactive-coding-challenges,30880,2015-04-28,3310,260,3310,0.0,0.0,0.0,0.0,0
tqdm/tqdm,30589,2015-06-03,3646,31,3646,0.0,0.0,0.0,0.0,0
donnemartin/data-science-ipython-notebooks,28613,2015-01-23,5215,49,5215,0.0,0.0,0.0,0.0,0
python-telegram-bot/python-telegram-bot,28343,2015-07-07,64785,224,64785,0.9993,0.8239,0.7354,0.8239,72
chubin/wttr.in,27921,2015-12-26,7363,29,7363,0.0,0.0,0.0,0.0,0
ungoogled-software/ungoogled-chromium,24558,2015-06-12,3370,22,3370,0.0079,0.0064,0.0,0.0064,0
plotly/dash,24206,2015-04-10,12166,77,12166,0.1687,0.0748,0.0203,0.054,33
zulip/zulip,23677,2015-09-25,174680,1773,174680,0.9999,1.0,0.1272,0.9999,1309
magic-wormhole/magic-wormhole,21889,2015-02-10,10196,56,10196,0.086,0.0661,0.0448,0.0661,42
mementum/backtrader,19179,2015-01-10,22968,177,22968,0.0018,0.0,0.0,0.0,0
Rapptz/discord.py,15739,2015-08-21,68869,143,68869,0.9855,0.9131,0.764,0.9067,875
fortra/impacket,15024,2015-04-15,85344,103,85344,0.003,0.0014,0.0,0.0014,0
apprenticeharper/DeDRM_tools,14947,2015-03-09,19439,54,19439,0.0,0.0,0.0,0.0,0
aleju/imgaug,14690,2015-07-10,59012,112,59012,0.0,0.0,0.0,0.0,0
waditu/tushare,14005,2015-01-07,9964,53,9964,0.0,0.0,0.0,0.0,0
google/yapf,13957,2015-03-18,17507,54,17507,0.0,0.0,0.0,0.0,0
ethereum/EIPs,13603,2015-10-26,1504,11,1504,0.7872,0.8269,0.6667,0.75,2
dask/dask,13555,2015-01-04,78178,187,78178,0.0867,0.1126,0.0199,0.1006,126
pytest-dev/pytest,13217,2015-06-15,82663,228,82663,0.785,0.7987,0.0715,0.7321,248
borgbackup/borg,12521,2015-05-12,34893,179,34893,0.0283,0.0183,0.0076,0.017,2
meolu/walle-web,12049,2015-09-11,5500,74,5500,0.0,0.0,0.0,0.0,0
secdev/scapy,11805,2015-10-01,192926,376,192926,0.036,0.0215,0.0048,0.02,42
dbcli/mycli,11743,2015-04-05,5775,34,5775,0.8804,0.9291,0.0588,0.8022,17
aboul3la/Sublist3r,10658,2015-12-15,1310,4,1310,0.0,0.0,0.0,0.0,0
AlessandroZ/LaZagne,10435,2015-02-16,22075,251,22075,0.0028,0.0007,0.0,0.0007,0
