repo,stars,created_at,loc_full,size_band,default_branch,files_scanned,loc_scanned,functions_total,params_total_excl_selfcls,params_annotated,ret_annotated,var_annotated,fully_annotated_functions,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total,var_z,leaderboard_score,any_scaled,typing_debt
streamlit/streamlit,41975,2019-08-24,95974,50k–100k,develop,710,95974,4376,7058,7051,2860,1300,2859,0.999,0.6536,0.1703,0.6533,665,0.32459691126118667,0.7432293822522373,0.8105849582172694,0.30701623955431734
huggingface/pytorch-image-models,35594,2019-02-02,100214,100k–150k,main,283,100214,5079,16020,9962,2326,460,1083,0.6218,0.458,0.0274,0.2132,329,-0.26763473517520464,0.3865830529649591,0.34261838440111386,0.4184445961002785
facebookresearch/detectron2,33571,2019-09-05,51643,50k–100k,main,416,51643,2310,4609,1519,441,114,409,0.3296,0.1909,0.0129,0.1771,149,-0.3277282192432779,0.14958935615134442,0.09192200557103056,0.5673905013927577
WZMIAOMIAO/deep-learning-for-image-processing,25636,2019-11-14,51899,50k–100k,master,484,51899,2794,5831,1460,186,31,179,0.2504,0.0666,0.0021,0.0641,4,-0.37248750392846347,0.0614924992143073,0.0,0.61734
microsoft/unilm,21791,2019-07-23,473252,450k–500k,master,2870,473252,24734,51434,8981,1897,3861,1493,0.1746,0.0767,0.0443,0.0604,409,-0.1975947433993123,0.06589605132013754,0.45403899721448426,0.761929749303621
goauthentik/authentik,18585,2019-12-30,82689,50k–100k,main,1479,82689,3528,3624,2536,1944,1098,1712,0.6998,0.551,0.1032,0.4853,405,0.04650913326341302,0.5170618266526826,0.4484679665738157,0.3819069916434539
NVIDIA-NeMo/NeMo,15982,2019-08-05,372744,350k–400k,main,1674,372744,14271,35924,20816,4797,5185,4068,0.5794,0.3361,0.0917,0.2851,591,-0.0011512161698864689,0.3781347567660227,0.7075208913649018,0.5653202228412255
hummingbot/hummingbot,14909,2019-04-02,117540,100k–150k,master,829,117540,8220,9014,8018,4020,3822,3830,0.8895,0.4891,0.2166,0.4659,1040,0.516481622457862,0.6747563244915724,1.0,0.45299500000000004
akfamily/akshare,14062,2019-10-01,88276,50k–100k,main,394,88276,1575,1500,1054,1172,0,1167,0.7027,0.7441,0.0,0.741,0,-0.38119069817280515,0.5004118603654389,0.0,0.21055500000000002
NVIDIA/Megatron-LM,13980,2019-03-21,111804,100k–150k,main,504,111804,4586,9531,4715,1405,1061,1327,0.4947,0.3064,0.0621,0.2894,141,-0.12382481123298782,0.30509003775340243,0.08077994428969351,0.45565998607242336
PaddlePaddle/PaddleDetection,13854,2019-10-25,112587,100k–150k,release/2.8.1,458,112587,4570,12960,125,24,44,18,0.0096,0.0053,0.0015,0.0039,0,-0.37497413085541825,-0.06881982617108365,0.0,0.7440899999999999
Chia-Network/chia-blockchain,10845,2019-07-16,206229,200k–250k,main,899,206229,8565,14551,14142,8042,8681,7988,0.9719,0.9389,0.2847,0.9326,1416,0.798713778667227,0.9257127557334455,1.0,0.28097500000000003
Netflix/metaflow,9585,2019-09-17,95263,50k–100k,master,409,95263,5928,9107,1623,1022,192,971,0.1782,0.1724,0.017,0.1638,476,-0.3107362685757537,0.07838274628484924,0.547353760445682,0.7549284401114205
autogluon/autogluon,9530,2019-07-29,113357,100k–150k,master,630,113357,5126,11487,7265,2145,552,1707,0.6325,0.4185,0.0315,0.333,194,-0.2506427845076804,0.38097144309846387,0.1545961002785514,0.3784740250696379
PaddlePaddle/PaddleSeg,9193,2019-08-26,118687,100k–150k,release/2.10,801,118687,5304,12649,912,302,10,277,0.0721,0.0569,0.0004,0.0522,31,-0.3795329468881687,-0.023546589377633736,0.0,0.700485
kellyjonbrazil/jc,8420,2019-10-15,66863,50k–100k,master,299,66863,1387,1890,760,425,453,413,0.4021,0.3064,0.0551,0.2978,6,-0.15283545871412665,0.2576179082571747,0.0,0.477135
google/trax,8292,2019-10-05,50860,50k–100k,master,186,50860,3699,6834,13,2,1,1,0.0019,0.0005,0.0001,0.0003,0,-0.380776260351646,-0.0751252520703292,0.0,0.7489950000000001
