repo,stars,created_at,loc_full,size_band,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
Significant-Gravitas/AutoGPT,179359,2023-03-16,105650,100k–150k,603,105650,0.8407,0.5395,0.5474,0.4303,536
langflow-ai/langflow,136481,2023-02-08,99381,50k–100k,1103,99381,0.7786,0.6655,0.1823,0.5932,797
comfyanonymous/ComfyUI,92238,2023-01-17,99322,50k–100k,407,99322,0.2837,0.2118,0.135,0.1564,150
vllm-project/vllm,61353,2023-02-09,301661,300k–350k,1008,301661,0.8759,0.7037,0.1145,0.6794,795
crewAIInc/crewAI,39838,2023-10-27,57554,50k–100k,624,57554,0.8668,0.7643,0.5898,0.7292,1155
BerriAI/litellm,30453,2023-07-27,276796,250k–300k,1272,276796,0.8692,0.6389,0.3021,0.5878,1885
Genesis-Embodied-AI/Genesis,27476,2023-10-31,71789,50k–100k,204,71789,0.3677,0.075,0.0933,0.0709,8
letta-ai/letta,18974,2023-10-11,86792,50k–100k,602,86792,0.8635,0.6415,0.2756,0.6057,226
1Panel-dev/MaxKB,18787,2023-09-14,52940,50k–100k,827,52940,0.405,0.0788,0.0325,0.0489,59
Mikubill/sd-webui-controlnet,17833,2023-02-12,109522,100k–150k,787,109522,0.1378,0.0959,0.0089,0.0813,70
eosphoros-ai/DB-GPT,17534,2023-04-13,123257,100k–150k,926,123257,0.8299,0.6017,0.2742,0.5462,830
marimo-team/marimo,16663,2023-08-14,106434,100k–150k,957,106434,0.6268,0.5824,0.2384,0.582,1109
onyx-dot-app/onyx,15625,2023-04-27,155133,150k–200k,1195,155133,0.9975,0.986,0.3108,0.986,1042
comet-ml/opik,15267,2023-05-10,197057,150k–200k,1124,197057,0.9706,0.8395,0.3499,0.8374,1359
camel-ai/camel,14648,2023-03-17,94189,50k–100k,463,94189,0.9379,0.8528,0.1613,0.8275,1137
h2oai/h2ogpt,11938,2023-03-24,53739,50k–100k,122,53739,0.2215,0.1612,0.0504,0.1338,333
confident-ai/deepeval,11880,2023-08-10,52963,50k–100k,383,52963,0.8552,0.4385,0.2809,0.4153,191
keephq/keep,10854,2023-02-04,85639,50k–100k,618,85639,0.7342,0.4431,0.162,0.389,67
microsoft/promptflow,10837,2023-06-30,205628,200k–250k,607,205628,0.6005,0.2335,0.0386,0.1856,530
FlagOpen/FlagEmbedding,10757,2023-08-02,74742,50k–100k,479,74742,0.5208,0.1679,0.1221,0.1305,63
modelscope/ms-swift,10748,2023-08-01,62561,50k–100k,400,62561,0.5147,0.347,0.112,0.2691,592
jxxghp/MoviePilot,9739,2023-05-31,75066,50k–100k,361,75066,0.8366,0.6199,0.1911,0.5745,507
open-mmlab/Amphion,9464,2023-11-15,112942,100k–150k,633,112942,0.2341,0.0945,0.0086,0.0766,49
OpenGVLab/InternVL,9399,2023-11-22,61664,50k–100k,415,61664,0.2691,0.1152,0.0239,0.0846,22
xorbitsai/inference,8671,2023-06-14,146338,100k–150k,777,146338,0.4457,0.2021,0.0581,0.1745,239
pipecat-ai/pipecat,8539,2023-12-27,59715,50k–100k,384,59715,0.8185,0.2683,0.4843,0.2565,263
polarsource/polar,8077,2023-01-26,88640,50k–100k,880,88640,0.9902,0.9851,0.5421,0.9851,423
livekit/agents,7989,2023-10-19,53180,50k–100k,402,53180,0.9967,0.9645,0.4804,0.9634,314
mouredev/roadmap-retos-programacion,7367,2023-12-18,337246,300k–350k,4733,337246,0.3066,0.1377,0.0389,0.1161,61
InternLM/lmdeploy,7216,2023-06-15,73087,50k–100k,473,73087,0.696,0.1345,0.0687,0.1129,299
CVHub520/X-AnyLabeling,6817,2023-05-23,110959,100k–150k,344,110959,0.2248,0.1105,0.0037,0.0785,34
princeton-vl/infinigen,6684,2023-06-17,188372,150k–200k,815,188372,0.215,0.0525,0.0065,0.022,7
ostris/ai-toolkit,6669,2023-07-05,63765,50k–100k,273,63765,0.4828,0.1341,0.0577,0.0964,41
open-compass/opencompass,6234,2023-06-15,160546,150k–200k,2627,160546,0.452,0.2275,0.0047,0.1803,50
allenai/OLMo,6062,2023-02-20,53674,50k–100k,385,53674,0.4379,0.1963,0.0748,0.1769,278
Akegarasu/lora-scripts,5760,2023-01-22,98248,50k–100k,220,98248,0.3774,0.1562,0.0294,0.1258,70
meta-pytorch/torchtune,5563,2023-10-20,57063,50k–100k,297,57063,0.9274,0.742,0.0317,0.7089,288
modelscope/data-juicer,5416,2023-08-01,50511,50k–100k,374,50511,0.385,0.0896,0.0062,0.0716,42
kyegomez/swarms,5347,2023-05-11,53431,50k–100k,205,53431,0.8193,0.5334,0.1547,0.4777,475
lllyasviel/ControlNet-v1-1-nightly,5097,2023-03-14,101863,100k–150k,730,101863,0.1008,0.0634,0.0021,0.0557,50
InternLM/xtuner,4959,2023-07-11,152432,150k–200k,1013,152432,0.5089,0.3088,0.0354,0.2543,70
gd3kr/BlenderGPT,4877,2023-03-21,59703,50k–100k,235,59703,0.3893,0.4764,0.1039,0.468,260
XiaoYouChR/Ghost-Downloader-3,4309,2023-08-16,312524,300k–350k,35,312524,0.4918,0.1823,0.0521,0.1339,0
LmeSzinc/StarRailCopilot,4016,2023-05-16,79289,50k–100k,446,79289,0.2017,0.2027,0.0405,0.1554,22
ModelTC/LightLLM,3683,2023-07-22,59267,50k–100k,651,59267,0.3827,0.1706,0.0737,0.1237,28
fla-org/flash-linear-attention,3585,2023-12-20,67442,50k–100k,333,67442,0.6294,0.2609,0.0034,0.2222,48
Fannovel16/comfyui_controlnet_aux,3505,2023-08-17,78927,50k–100k,666,78927,0.1257,0.1094,0.0044,0.0896,69
intuitem/ciso-assistant-community,3309,2023-09-20,69969,50k–100k,428,69969,0.2641,0.1597,0.0059,0.1372,19
OpenGVLab/Ask-Anything,3309,2023-04-19,97423,50k–100k,408,97423,0.0863,0.029,0.0069,0.028,10
Agenta-AI/agenta,3300,2023-04-26,130584,100k–150k,810,130584,0.9566,0.737,0.3188,0.7126,793
open-compass/VLMEvalKit,3270,2023-12-01,99566,50k–100k,520,99566,0.2511,0.2141,0.0093,0.1751,342
runhey/OnmyojiAutoScript,3229,2023-04-28,133798,100k–150k,399,133798,0.436,0.3102,0.1306,0.2642,9
element-hq/synapse,3102,2023-12-13,174655,150k–200k,598,174655,0.9928,0.8876,0.1794,0.8869,602
Josh-XT/AGiXT,3098,2023-04-17,72637,50k–100k,104,72637,0.7195,0.4617,0.1083,0.3499,121
elevenlabs/elevenlabs-python,2765,2023-03-26,88885,50k–100k,1232,88885,0.9889,0.6371,0.9336,0.6365,261
CheshireCC/faster-whisper-GUI,2743,2023-07-18,163137,150k–200k,52,163137,0.4627,0.1718,0.1441,0.1014,0
IDEA-Research/DWPose,2589,2023-07-26,217428,200k–250k,1487,217428,0.1832,0.1227,0.0032,0.111,65
bghira/SimpleTuner,2584,2023-05-28,113695,100k–150k,299,113695,0.6919,0.4329,0.0441,0.4056,1074
Pointcept/Pointcept,2577,2023-03-21,94358,50k–100k,410,94358,0.0516,0.0419,0.0014,0.0352,1
kaqijiang/Auto-GPT-ZH,2468,2023-04-18,58160,50k–100k,413,58160,0.8582,0.5762,0.6525,0.4568,258
pytorch/ao,2465,2023-11-03,198754,150k–200k,424,198754,0.5046,0.3366,0.0406,0.3057,245
dot-agent/nextpy,2324,2023-08-07,74267,50k–100k,1029,74267,0.6853,0.5996,0.3435,0.5463,700
apple/axlearn,2277,2023-02-25,184818,150k–200k,563,184818,0.7392,0.3991,0.1061,0.3741,473
xlang-ai/OSWorld,2276,2023-10-16,105388,100k–150k,484,105388,0.6297,0.5491,0.091,0.5141,1437
roboflow/inference,2009,2023-07-31,127168,100k–150k,989,127168,0.8602,0.7748,0.1889,0.6679,607
NVIDIA/physicsnemo,1966,2023-01-26,69666,50k–100k,300,69666,0.7573,0.5335,0.0697,0.4991,240
AI-Hypercomputer/maxtext,1939,2023-02-28,53083,50k–100k,229,53083,0.4823,0.2073,0.0247,0.1744,129
eosphoros-ai/DB-GPT-Hub,1915,2023-06-02,163053,150k–200k,105,163053,0.844,0.0215,0.0417,0.02,72
invictus717/MetaTransformer,1633,2023-07-08,96796,50k–100k,758,96796,0.0713,0.0346,0.0018,0.0231,14
UKGovernmentBEIS/inspect_ai,1448,2023-11-14,68938,50k–100k,566,68938,0.9964,0.9724,0.3402,0.9714,712
alibaba/Pai-Megatron-Patch,1405,2023-09-04,87944,50k–100k,316,87944,0.2503,0.128,0.0239,0.1092,7
OneDragon-Anything/StarRailOneDragon,1378,2023-09-09,50182,50k–100k,505,50182,0.827,0.6152,0.2717,0.6011,33
